2019 2 21 6 5 54 53.5	30.01	102.18	12	ML	0.1	eq	四川泸定
2019 2 21 3 5 53 56.3	31.28	103.92	2	ML	0.8	eq	四川什邡
2019 2 21 1 1 13 46.3	31.80	103.17	11	ML	0.2	eq	四川茂县
2019 2 21 0 5 58 15.1	31.36	103.24	5	ML	0.2	eq	四川汶川
2019 2 20 19  23 59.5	31.68	103.14	14	ML	0.1	eq	四川理县
2019 2 20 19  39 02.4	31.66	103.12	14	ML	2.1	eq	四川理县
2019 2 20 18  21 58.5	31.67	103.13	5	ML	0.3	eq	四川理县
2019 2 20 3 3 39 33.4	31.45	103.94	5	ML	0.3	eq	四川什邡
2019 2 19 20  19 01.1	31.42	103.86	5	ML	0.1	eq	四川什邡
2019 2 18 7 3 33 18.4	31.38	103.76	5	ML	1.0	eq	四川彭州
2019 2 17 13  59 14.9	31.19	103.71	5	ML	0.3	eq	四川彭州
2019 2 16 23  55 40.6	30.58	102.59	5	ML	0.9	eq	四川宝兴
2019 2 16 6 3 36 28.0	30.36	102.94	17	ML	1.4	eq	四川芦山
2019 2 16 5 8 08 21.3	30.84	103.20	22	ML	1.0	eq	四川崇州
2019 2 16 3 5 56 22.1	31.21	103.83	25	ML	1.0	eq	四川彭州
2019 2 15 7 2 27 08.8	31.36	103.60	23	ML	0.9	eq	四川汶川
2019 2 15 6 5 52 13.5	30.94	103.35	13	ML	1.0	eq	四川汶川
2019 2 14 21  37 50.7	30.27	103.00	18	ML	0.7	eq	四川芦山
2019 2 14 12  21 35.2	31.21	103.67	15	ML	0.4	eq	四川都江堰
2019 2 14 10  21 46.5	31.43	103.86	22	ML	1.6	eq	四川什邡
2019 2 13 23  50 25.0	31.31	103.82	19	ML	1.0	eq	四川彭州
2019 2 13 19  37 26.5	31.55	102.43	14	ML	1.2	eq	四川小金
2019 2 13 12  22 59.7	31.35	103.19	15	ML	2.1	eq	四川理县
2019 2 12 16  23 03.9	31.24	103.34	2	ML	0.1	eq	四川汶川
2019 2 12 14  34 38.4	31.39	103.22	2	ML	0.3	eq	四川理县
2019 2 12 11  26 51.1	31.56	103.33	5	ML	0.5	eq	四川理县
2019 2 12 7 4 44 50.9	31.34	103.82	1	ML	0.1	eq	四川彭州
2019 2 12 1 5 55 26.3	31.64	102.31	17	ML	0.1	eq	四川小金
2019 2 11 23  05 44.8	31.01	103.43	12	ML	1.1	eq	四川汶川
2019 2 11 17  50 58.8	31.28	103.17	10	ML	0.7	eq	四川汶川
2019 2 10 23  26 00.5	31.22	103.68	14	ML	0.2	eq	四川都江堰
2019 2 10 20  22 02.5	31.20	103.57	8	ML	0.4	eq	四川汶川
2019 2 10 18  32 15.6	31.30	103.53	5	ML	0.2	eq	四川汶川
2019 2 10 15  31 50.1	31.50	103.89	23	ML	0.7	eq	四川什邡
2019 2 10 14  44 14.9	31.25	103.44	4	ML	0.7	eq	四川汶川
2019 2 10 1 3 36 36.0	31.38	103.48	13	ML	0.7	eq	四川汶川
2019 2 9 24 - 40 01.5	31.77	102.29	5	ML	1.0	eq	四川马尔康
2019 2 9 24 - 39 14.4	31.77	102.28	14	ML	1.9	eq	四川马尔康
2019 2 9 21 2 20 40.7	31.79	102.27	14	ML	0.4	eq	四川马尔康
2019 2 9 21 1 19 05.2	31.77	102.29	11	ML	2.1	eq	四川马尔康
2019 2 9 21 - 57 06.7	31.65	103.11	15	ML	1.7	eq	四川理县
2019 2 9 20 2 29 22.5	31.02	103.26	8	ML	0.8	eq	四川汶川
2019 2 9 20 - 34 13.6	31.16	103.34	13	ML	0.5	eq	四川汶川
2019 2 9 9 2  02 47.7	31.32	103.45	15	ML	0.5	eq	四川汶川
2019 2 9 0 21 21 54.0	31.24	103.69	16	ML	0.2	eq	四川都江堰
2019 2 8 16 1 11 01.6	31.25	103.44	13	ML	0.6	eq	四川汶川
2019 2 8 15 2 02 53.0	31.78	103.99	19	ML	0.8	eq	四川茂县
2019 2 8 14 4 42 44.6	31.37	103.35	5	ML	0.3	eq	四川汶川
2019 2 8 5 8  08 28.3	30.23	102.05	9	ML	0.6	eq	四川康定
2019 2 8 3 51 51 42.3	30.03	102.04	5	ML	0.2	eq	四川康定
2019 2 7 22 - 46 09.3	31.34	103.40	11	ML	0.1	eq	四川汶川
2019 2 7 5 45 45 56.6	31.61	103.99	20	ML	0.8	eq	四川绵竹
2019 2 7 2 12 12 06.9	31.94	102.31	12	ML	0.2	eq	四川马尔康
2019 2 6 13 1 13 19.6	31.34	103.21	2	ML	0.1	eq	四川汶川
2019 2 6 13 8 08 07.7	30.61	103.19	10	ML	1.1	eq	四川大邑
2019 2 6 7 32 32 49.9	32.00	103.01	7	ML	0.8	eq	四川黑水
2019 2 6 6 16 16 32.3	30.21	102.04	8	ML	0.7	eq	四川康定
2019 2 6 0 26 26 33.9	30.23	102.03	9	ML	0.7	eq	四川康定
2019 2 5 24 - 39 15.8	30.27	102.90	20	ML	0.1	eq	四川芦山
2019 2 5 22 1 12 21.4	30.33	103.00	14	ML	0.9	eq	四川芦山
2019 2 5 20 1 18 16.5	31.33	103.70	19	ML	0.2	eq	四川彭州
2019 2 5 20 - 57 21.8	31.29	103.54	4	ML	0.1	eq	四川汶川
2019 2 4 23 2 01 48.2	31.80	104.00	19	ML	1.0	eq	四川茂县
2019 2 4 19 1 15 19.8	31.31	103.43	5	ML	0.1	eq	四川汶川
2019 2 4 19 1 12 37.8	31.14	103.43	11	ML	1.3	eq	四川汶川
2019 2 4 19 1 12 16.4	31.18	103.46	5	ML	0.7	eq	四川汶川
2019 2 4 19 - 59 11.7	31.18	103.39	5	ML	0.5	eq	四川汶川
2019 2 4 19 - 49 55.1	31.17	103.43	5	ML	0.1	eq	四川汶川
2019 2 4 18 - 35 25.0	30.39	103.00	12	ML	0.3	eq	四川芦山
2019 2 4 17 - 32 16.1	31.77	102.28	10	ML	1.1	eq	四川马尔康
2019 2 4 3 23 23 30.3	31.69	103.17	6	ML	0.4	eq	四川理县
2019 2 2 14 3 38 03.0	31.35	103.73	17	ML	0.5	eq	四川彭州
2019 2 1 22 - 51 29.3	31.78	102.26	11	ML	0.8	eq	四川马尔康
2019 1 31 5 5 53 29.8	31.94	102.05	3	ML	0.1	eq	四川马尔康
2019 1 30 24  56 40.1	31.61	103.25	5	ML	0.3	eq	四川理县
2019 1 30 23  10 57.3	30.05	103.15	24	ML	0.6	eq	四川名山
2019 1 30 19  05 14.1	31.78	102.27	11	ML	0.3	eq	四川马尔康
2019 1 30 15  28 20.6	31.07	103.26	5	ML	0.1	eq	四川汶川
2019 1 30 15  26 02.2	31.04	103.29	15	ML	2.0	eq	四川汶川
2019 1 30 1 3 36 57.7	30.37	103.30	23	ML	1.2	eq	四川邛崃
2019 1 29 18  20 34.7	31.78	102.29	11	ML	1.9	eq	四川马尔康
2019 1 28 22  31 09.5	31.39	103.37	5	ML	0.1	eq	四川汶川
2019 1 28 12  33 27.2	31.08	103.36	2	ML	0.4	eq	四川汶川
2019 1 28 7 5 51 18.4	30.09	102.69	5	ML	0.4	eq	四川天全
2019 1 27 20  17 29.5	30.30	102.91	22	ML	0.3	eq	四川芦山
2019 1 27 12  41 39.9	31.03	103.90	5	ML	0.2	eq	四川彭州
2019 1 27 10  33 27.5	31.16	103.51	2	ML	0.5	eq	四川汶川
2019 1 27 9 1 17 01.9	31.25	103.87	24	ML	0.7	eq	四川彭州
2019 1 27 3 5 53 24.6	31.28	103.91	10	ML	0.4	eq	四川彭州
2019 1 27 3 5 52 37.1	31.31	103.92	5	ML	0.6	eq	四川彭州
2019 1 26 21  54 57.2	31.22	103.61	3	ML	0.2	eq	四川都江堰
2019 1 26 20  09 10.2	31.02	103.23	5	ML	0.8	eq	四川汶川
2019 1 26 19  38 05.1	31.05	103.25	14	ML	1.8	eq	四川汶川
2019 1 26 10  49 03.3	30.98	103.79	10	ML	0.2	eq	四川彭州
2019 1 26 9 1 11 10.9	31.17	103.55	5	ML	0.3	eq	四川汶川
2019 1 26 8 2 02 45.3	31.51	103.17	5	ML	1.1	eq	四川理县
